time,temp,est,door,compressor
1,1.89996,0,0,0
2,2.10055,0,0,0
3,1.82454,0,0,0
4,1.62289,0,0,0
5,2.10055,0,0,0
6,2.02541,0,0,0
7,2.02541,0,0,0
8,1.92507,0,0,0
9,2.07552,0,0,0
10,2.05047,0,0,0
11,2.25049,0,0,0
12,1.92507,0,0,0
13,1.62289,0,0,0
14,2.20056,0,0,0
15,2.25049,0,0,0
16,1.95017,0,0,0
17,2.15057,0,0,0
18,1.7742,0,0,0
19,1.95017,0,0,0
20,2.00034,0,0,0
21,2.17557,0,0,0
22,1.87483,0,0,0
23,2.20056,0,0,0
24,2.10055,0,0,0
25,2.15057,0,0,0
26,1.74901,0,0,0
27,1.87483,0,0,0
28,2.05047,0,0,0
29,1.74901,0,0,0
30,2.25049,0,0,0
31,2.20056,0,0,0
32,2.20056,0,0,0
33,2.02541,0,0,0
34,2.02541,0,0,0
35,2.30038,0,0,0
36,1.74901,0,0,0
37,1.64814,0,0,0
38,1.87483,0,0,0
39,1.95017,0,0,0
40,1.79938,0,0,0
41,2.05047,0,0,0
42,2.42489,0,0,0
43,2.12557,0,0,0
44,1.79938,0,0,0
45,2.10055,0,0,0
46,2.22553,0,0,0
47,1.79938,0,0,0
48,2.07552,0,0,0
49,2.00034,0,0,0
50,2.02541,0,0,0
51,2.02541,0,0,0
52,2.05047,0,0,0
53,1.82454,0,0,0
54,2.12557,0,0,0
55,2.47462,1681.8,0,0
56,1.92507,1043.89,0,0
57,2.00034,933.107,0,0
58,1.67338,1696.77,0,0
59,2.10055,2617.7,0,0
60,2.27543,1920.05,0,0
61,2.00034,1919.74,1,0
62,2.17557,1918.83,1,0
63,2.20056,1917.81,1,0
64,2.54912,1915.13,1,0
65,1.79938,1916.03,1,0
66,2.77202,1912.3,1,0
67,2.3253,1910.72,1,0
68,2.54912,1908.07,1,0
69,2.52429,1905.56,1,0
70,2.72256,1902.12,1,0
71,2.42489,1900.11,1,0
72,2.94477,1895.63,1,0
73,2.49946,1893.3,1,0
74,2.77202,1889.68,1,0
75,2.54912,1887.14,1,0
76,2.79673,1883.44,1,0
77,2.84612,1879.52,1,0
78,2.59873,1876.79,1,0
79,3.19064,1871.26,1,0
80,2.72256,1867.99,1,0
81,2.84612,1193.32,0,0
82,2.8708,1177.55,0,0
